tract,all,all_no,all_hs,all_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
8200,1109,3,1106,922,847,0,847,699,69,3,66,62,0,0,0,0,32,0,32,32,0,0,0,0,10,0,10,0,79,0,79,79,72,0,72,50
8301,1330,24,1306,1179,959,0,959,857,140,24,116,91,0,0,0,0,125,0,125,125,0,0,0,0,19,0,19,19,25,0,25,25,62,0,62,62
8302,1196,53,1143,1053,951,0,951,909,98,41,57,16,0,0,0,0,38,0,38,31,0,0,0,0,21,6,15,15,40,0,40,40,48,6,42,42
8402,1008,10,998,898,719,0,719,707,105,10,95,7,0,0,0,0,18,0,18,18,0,0,0,0,0,0,0,0,41,0,41,41,125,0,125,125
8410,668,38,630,565,413,0,413,389,135,38,97,56,7,0,7,7,34,0,34,34,0,0,0,0,0,0,0,0,49,0,49,49,30,0,30,30
8701,1157,132,1025,759,571,0,571,559,506,132,374,120,0,0,0,0,37,0,37,37,0,0,0,0,6,0,6,6,0,0,0,0,37,0,37,37
8702,1258,132,1126,860,646,18,628,519,437,96,341,189,0,0,0,0,28,0,28,28,0,0,0,0,15,0,15,15,39,0,39,34,93,18,75,75
8802,1927,151,1776,692,469,13,456,394,1338,138,1200,203,0,0,0,0,20,0,20,20,0,0,0,0,0,0,0,0,42,0,42,30,58,0,58,45
8803,1419,180,1239,363,240,0,240,155,895,115,780,130,0,0,0,0,37,15,22,18,11,0,11,11,69,16,53,0,31,9,22,7,136,25,111,42
8804,910,158,752,138,131,20,111,60,614,63,551,78,29,0,29,0,0,0,0,0,0,0,0,0,34,34,0,0,32,7,25,0,70,34,36,0
8903,1160,73,1087,644,157,4,153,153,925,65,860,491,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,0,0,0,41,4,37,0
8904,1958,562,1396,606,189,85,104,86,1448,294,1154,425,0,0,0,0,30,0,30,30,0,0,0,0,65,49,16,16,43,0,43,0,183,134,49,49
9000,1095,122,973,309,51,0,51,51,1017,122,895,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27,14
9102,1543,300,1243,633,330,63,267,239,1035,174,861,308,0,0,0,0,22,0,22,22,0,0,0,0,14,0,14,14,23,0,23,19,119,63,56,31
9201,1005,76,929,789,585,4,581,531,280,56,224,167,2,0,2,0,31,0,31,24,0,0,0,0,6,0,6,0,20,0,20,18,81,16,65,49
