"tract","offense","lat","long","female_pop","male_pop","total_pop","white","black","aian","asian","nhpi","other","multi","hisp"
102,"THEFT F/AUTO","38.905998831","-77.0612083276",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9055925925","-77.062833582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"MOTOR VEHICLE THEFT","38.9109709309","-77.062169582",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"ROBBERY","38.9038924725","-77.0580822088",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.906800087","-77.0621313588",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT F/AUTO","38.9034220422","-77.0619670139",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051786519","-77.0620031271",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9025842716","-77.0619547575",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"BURGLARY","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9162194455","-77.0681701824",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9090060154","-77.0641970879",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9025939755","-77.0606289753",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.905225426","-77.0586482171",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9051883564","-77.0606772966",1530,1714,3244,2519,34,0,118,0,147,94,332
102,"THEFT/OTHER","38.9064303563","-77.0628573785",1530,1714,3244,2519,34,0,118,0,147,94,332
