tract,total,total_no,total_hs,total_col,white,white_no,white_hs,white_col,black,black_no,black_hs,black_col,aian,aian_no,aian_hs,aian_col,asian,asian_no,asian_hs,asian_col,nhpi,nhpi_no,nhpi_hs,nhpi_col,other,other_no,other_hs,other_col,multi,multi_no,multi_hs,multi_col,hisp,hisp_no,hisp_hs,hisp_col
000803,1282,0,1282,1176,793,0,793,726,82,0,82,69,0,0,0,0,140,0,140,140,0,0,0,0,32,0,32,32,76,0,76,50,159,0,159,159
000804,1277,0,1277,1160,978,0,978,951,69,0,69,68,0,0,0,0,142,0,142,53,0,0,0,0,11,0,11,11,26,0,26,26,51,0,51,51
000902,964,60,904,824,770,43,727,683,27,1,26,15,0,0,0,0,66,0,66,63,0,0,0,0,0,0,0,0,6,0,6,0,95,16,79,63
000903,502,0,502,438,389,0,389,363,42,0,42,17,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,8,0,8,8,50,0,50,50
000904,1328,74,1254,1074,998,10,988,880,34,0,34,34,0,0,0,0,50,0,50,27,0,0,0,0,45,27,18,0,39,0,39,39,162,37,125,94
001002,1642,86,1556,1468,1157,43,1114,1081,88,0,88,88,0,0,0,0,129,0,129,96,0,0,0,0,13,0,13,13,79,0,79,79,176,43,133,111
001003,1100,4,1096,972,947,4,943,819,19,0,19,19,0,0,0,0,81,0,81,81,0,0,0,0,6,0,6,6,9,0,9,9,38,0,38,38
001004,1582,28,1554,1356,1294,28,1266,1142,105,0,105,31,0,0,0,0,100,0,100,100,0,0,0,0,6,0,6,6,40,0,40,40,37,0,37,37
001100,2333,17,2316,2082,1638,17,1621,1491,272,0,272,261,19,0,19,19,123,0,123,71,0,0,0,0,21,0,21,21,95,0,95,95,165,0,165,124
001200,2345,48,2297,2031,1580,17,1563,1508,164,0,164,164,0,0,0,0,378,31,347,228,0,0,0,0,0,0,0,0,36,0,36,36,187,0,187,95
001301,2448,17,2431,2145,1518,4,1514,1436,367,13,354,259,0,0,0,0,129,0,129,75,0,0,0,0,97,0,97,97,17,0,17,17,320,0,320,261
001303,1982,53,1929,1605,1303,27,1276,1232,191,0,191,161,0,0,0,0,124,26,98,98,0,0,0,0,136,0,136,28,57,0,57,40,171,0,171,46
001304,2262,0,2262,1958,1793,0,1793,1575,105,0,105,105,0,0,0,0,65,0,65,21,0,0,0,0,0,0,0,0,117,0,117,117,182,0,182,140
001401,1554,72,1482,1351,936,46,890,794,90,0,90,90,8,0,8,0,319,0,319,319,0,0,0,0,26,0,26,26,19,0,19,13,156,26,130,109
001402,1602,96,1506,1284,1083,43,1040,917,149,10,139,86,0,0,0,0,49,0,49,41,0,0,0,0,63,0,63,47,18,0,18,15,240,43,197,178
001500,2383,367,2016,1875,1680,8,1672,1542,174,9,165,154,0,0,0,0,68,0,68,68,0,0,0,0,175,175,0,0,62,0,62,62,224,175,49,49
001600,1888,102,1786,1413,478,0,478,409,1188,100,1088,855,0,0,0,0,15,1,14,8,0,0,0,0,0,0,0,0,125,0,125,99,82,1,81,42
001702,1781,57,1724,1239,764,19,745,724,768,38,730,309,0,0,0,0,11,0,11,11,0,0,0,0,52,0,52,41,20,0,20,20,166,0,166,134
001803,1872,533,1339,600,113,7,106,82,1135,120,1015,432,0,0,0,0,2,2,0,0,0,0,0,0,256,195,61,0,72,7,65,60,294,202,92,26
001804,3853,714,3139,1055,198,62,136,118,1752,271,1481,656,0,0,0,0,43,25,18,18,0,0,0,0,675,109,566,7,108,2,106,104,1077,245,832,152
001901,1766,224,1542,898,341,0,341,341,984,36,948,388,0,0,0,0,33,0,33,33,0,0,0,0,94,94,0,0,22,0,22,19,292,94,198,117
001902,1141,113,1028,582,228,0,228,225,568,17,551,216,0,0,0,0,15,4,11,11,0,0,0,0,100,46,54,14,40,0,40,20,190,46,144,96
002001,1537,569,968,363,235,29,206,101,520,32,488,183,0,0,0,0,37,0,37,21,0,0,0,0,312,247,65,21,12,0,12,12,421,261,160,25
002002,1920,76,1844,1110,571,6,565,538,818,40,778,391,0,0,0,0,14,0,14,14,0,0,0,0,71,15,56,7,174,0,174,68,272,15,257,92
002101,2591,707,1884,1035,311,42,269,218,1314,39,1275,595,38,0,38,38,75,0,75,75,0,0,0,0,327,292,35,35,33,0,33,0,493,334,159,74
002102,2790,531,2259,1242,275,44,231,231,1594,75,1519,862,56,56,0,0,20,0,20,20,0,0,0,0,345,128,217,43,29,0,29,17,471,228,243,69
002201,1584,358,1226,619,432,6,426,345,590,30,560,200,23,0,23,0,17,0,17,17,0,0,0,0,191,139,52,0,60,38,22,19,271,145,126,38
002202,1170,113,1057,541,237,30,207,161,643,7,636,251,7,0,7,0,17,0,17,17,0,0,0,0,99,34,65,40,16,0,16,16,151,42,109,56
002301,1710,142,1568,923,317,0,317,304,1043,130,913,354,0,0,0,0,31,0,31,24,0,0,0,0,92,6,86,53,62,0,62,62,165,6,159,126
002302,605,30,575,451,102,0,102,71,401,30,371,278,0,0,0,0,87,0,87,87,0,0,0,0,3,0,3,3,0,0,0,0,12,0,12,12
002400,2005,370,1635,1116,762,76,686,555,754,45,709,402,0,0,0,0,63,0,63,63,0,0,0,0,16,0,16,0,121,70,51,51,289,179,110,45
